customer_city,customer_email,customer_fname,customer_id,customer_lname,customer_password,customer_segment,customer_state,customer_street,customer_zipcode
Carlisle,XXXXXXXXX,Mary,12253,Chan,XXXXXXXXX,Consumer,PA,4898 Red Butterfly Autoroute,17013
Los Angeles,XXXXXXXXX,Nicole,3528,Brooks,XXXXXXXXX,Consumer,CA,7312 Crystal Willow Villas,90023
Ewa Beach,XXXXXXXXX,Bruce,11018,Smith,XXXXXXXXX,Consumer,HI,9595 Blue Promenade,96706
Lakewood,XXXXXXXXX,Mary,3222,Williams,XXXXXXXXX,Consumer,NJ,1790 Noble Brook Run,8701
Rome,XXXXXXXXX,Melissa,6246,Ramirez,XXXXXXXXX,Consumer,NY,2459 Round Spring Towers,13440
Vista,XXXXXXXXX,Gregory,8741,Smith,XXXXXXXXX,Consumer,CA,690 Colonial Pine Passage,92083
Fort Worth,XXXXXXXXX,Elizabeth,8050,Smith,XXXXXXXXX,Consumer,TX,739 Jagged Goose Street,76106
Fond Du Lac,XXXXXXXXX,Mary,5474,Sanchez,XXXXXXXXX,Consumer,WI,29 Gentle Spring Mews,54935
Philadelphia,XXXXXXXXX,Mary,474,Patton,XXXXXXXXX,Consumer,PA,5532 Tawny Pines,19139
Ontario,XXXXXXXXX,Mary,12255,Davis,XXXXXXXXX,Consumer,CA,4502 Hazy Run,91764
Oviedo,XXXXXXXXX,Mark,10288,Smith,XXXXXXXXX,Consumer,FL,6026 Stony Elk Hill,32765
Buffalo,XXXXXXXXX,Mary,4717,Sanders,XXXXXXXXX,Consumer,NY,4903 Lazy Parkway,14221
Honolulu,XXXXXXXXX,Paul,4799,Jensen,XXXXXXXXX,Consumer,HI,3902 Foggy Swale,96822
Oceanside,XXXXXXXXX,Walter,4533,Chavez,XXXXXXXXX,Consumer,CA,990 Dewy Crest,92056
North Tonawanda,XXXXXXXXX,Joyce,12383,Phillips,XXXXXXXXX,Consumer,NY,9899 Hazy Falls,14120
Clovis,XXXXXXXXX,Daniel,3518,Smith,XXXXXXXXX,Consumer,CA,7449 Merry Chase,93611
Jamaica,XXXXXXXXX,Mary,4674,Lynn,XXXXXXXXX,Consumer,NY,7694 Velvet Turnabout,11434
Granite City,XXXXXXXXX,Pamela,8519,Michael,XXXXXXXXX,Consumer,IL,1585 Stony Rabbit Hollow,62040
Medford,XXXXXXXXX,Betty,5302,Smith,XXXXXXXXX,Consumer,MA,2289 Cozy Promenade,2155
Pomona,XXXXXXXXX,Mary,3594,Smith,XXXXXXXXX,Consumer,CA,830 Clear Sky Vale,91766
Tempe,XXXXXXXXX,Christian,9890,Luna,XXXXXXXXX,Consumer,AZ,2833 Clear Valley,85281
Santa Ana,XXXXXXXXX,Mary,1410,Smith,XXXXXXXXX,Consumer,CA,4682 Cozy Freeway,92703
York,XXXXXXXXX,Mary,7521,Ortega,XXXXXXXXX,Consumer,PA,4196 Noble Beacon Mews,17402
Aurora,XXXXXXXXX,Mary,2106,Grimes,XXXXXXXXX,Consumer,CO,231 Bright Alley,80010
Simi Valley,XXXXXXXXX,Mary,8144,Summers,XXXXXXXXX,Consumer,CA,3926 Stony Gardens,93065
Silver Spring,XXXXXXXXX,Tiffany,5643,Caldwell,XXXXXXXXX,Consumer,MD,3632 Fallen Pioneer Isle,20904
Saint Paul,XXXXXXXXX,Paul,2041,Garcia,XXXXXXXXX,Consumer,MN,1070 Dusty Beacon Maze,55124
San Antonio,XXXXXXXXX,Stephen,7537,Lee,XXXXXXXXX,Consumer,TX,469 Crystal Anchor Mountain,78201
Philadelphia,XXXXXXXXX,George,3056,Middleton,XXXXXXXXX,Consumer,PA,3601 Cozy Creek Trail,19143
Philadelphia,XXXXXXXXX,Samuel,7967,Jones,XXXXXXXXX,Consumer,PA,7007 Quiet Via,19149
Bronx,XXXXXXXXX,Larry,1758,King,XXXXXXXXX,Consumer,NY,2515 Burning Boulevard,10466
Greenville,XXXXXXXXX,Peter,7884,Smith,XXXXXXXXX,Corporate,NC,2127 Cozy Deer Bank,27858
Morristown,XXXXXXXXX,Diana,289,Richards,XXXXXXXXX,Corporate,NJ,3593 Easy Embers Field,7960
San Diego,XXXXXXXXX,Mary,10081,Castillo,XXXXXXXXX,Corporate,CA,9900 Hidden Rise Downs,92115
Oxnard,XXXXXXXXX,Mary,1169,Smith,XXXXXXXXX,Corporate,CA,1055 Crystal Woods,93030
Miami,XXXXXXXXX,Mary,1182,Smith,XXXXXXXXX,Corporate,FL,5365 Tawny Apple Limits,33147
Albuquerque,XXXXXXXXX,Mary,717,Camacho,XXXXXXXXX,Corporate,NM,4845 Thunder Embers Hollow,87111
Amarillo,XXXXXXXXX,Ainsley,20423,Leach,XXXXXXXXX,Corporate,TX,5154 Honey Bend,79109
Lutz,XXXXXXXXX,Theresa,5801,Pearson,XXXXXXXXX,Corporate,FL,6715 Gentle Horse Row,33549
Bend,XXXXXXXXX,Cynthia,702,Smith,XXXXXXXXX,Corporate,OR,6412 Crystal View Townline,97701
East Brunswick,XXXXXXXXX,Mary,6951,Williams,XXXXXXXXX,Corporate,NJ,263 Harvest Wood,8816
Lancaster,XXXXXXXXX,Sean,6780,Chung,XXXXXXXXX,Corporate,SC,7111 Cotton Blossom Estates,29720
Ontario,XXXXXXXXX,Jonathan,6422,Richmond,XXXXXXXXX,Corporate,CA,3005 Bright Maze,91762
Houston,XXXXXXXXX,Christopher,5384,Smith,XXXXXXXXX,Corporate,TX,5657 Lost Expressway,77015
Hampton,XXXXXXXXX,Donald,2985,Price,XXXXXXXXX,Corporate,VA,183 Velvet Grove Towers,23666
New York,XXXXXXXXX,Rana,18349,Moreno,XXXXXXXXX,Corporate,NY,2275 Rustic Impasse,10016
Porterville,XXXXXXXXX,Mary,11286,Garcia,XXXXXXXXX,Corporate,CA,8279 Bright Fox Highway,93257
Portland,XXXXXXXXX,William,489,Smith,XXXXXXXXX,Corporate,OR,2792 Middle Mount,97223
Strongsville,XXXXXXXXX,Rachel,4510,Cochran,XXXXXXXXX,Corporate,OH,6414 Jagged Sky Gardens,44136
El Paso,XXXXXXXXX,Dorothy,9626,Frye,XXXXXXXXX,Corporate,TX,4849 Clear Blossom Turnabout,79927
Del Rio,XXXXXXXXX,Robert,9494,Gilmore,XXXXXXXXX,Corporate,TX,8248 Clear Glade,78840
Buffalo,XXXXXXXXX,Mary,1718,Smith,XXXXXXXXX,Corporate,NY,4606 Umber Range,14221
